Entity,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Country
NTU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Singapore
NUS,100.0%,0.0%,0.0%,0.0%,125.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,80.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Singapore
SIM,76.92%,0.0%,0.0%,0.0%,111.11%,0.0%,0.0%,38.46%,0.0%,0.0%,0.0%,55.56%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.69,0.0%,0.0%,0.0%,11.11%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Singapore
SMU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Singapore
SUTD,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Singapore
Nitra,1.46%,1.46%,0.0%,0.0%,0.0%,0.0%,0.0%,1.46%,1.46%,0.0%,0.0%,0.0%,0.0%,0.0%,0.73%,0.73%,0.0%,0.0%,0.0%,0.0%,0.0%,5.84,5.84%,0.0%,0.0%,0.0%,0.0%,0.0%,2.92,2.92%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
Prešov,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
Trnava,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
Banská Bystrica,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
Bratislava,7.76%,7.89%,0.0%,0.0%,0.0%,0.0%,0.0%,6.03%,6.14%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.59,1.75%,0.0%,0.0%,0.0%,0.0%,0.0%,1.72,1.75%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
Comenius University,1.12%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,1.12%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.37,3.57%,0.0%,0.0%,0.0%,0.0%,0.0%,1.12,1.19%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
Košice,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovakia
KRANJ - SU (EXPANSION),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovenia
LJUBLJANA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovenia
MARIBOR,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovenia
MC Slovenia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Slovenia
Tshwane University of Technology,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
University of Cape Town,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
University of Johannesburg,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
University of Pretoria,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
IIE MSA,33.33%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
MC South Africa,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
Nelson Mandela University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
WITWATERSRAND (WITS),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,South Africa
Bellaterra Barcelona,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,250.0,0.0%,0.0%,0.0%,0.0%,200.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
Bilbao,37.5%,0.0%,0.0%,0.0%,66.67%,20.0%,0.0%,37.5%,0.0%,0.0%,0.0%,66.67%,20.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,37.5,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
Madrid,16.67%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,16.67%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
Málaga,33.33%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
MC Spain [iCX National Accounts],1.08%,0.0%,1.75%,0.91%,0.0%,0.0%,0.0%,1.08%,0.0%,1.75%,0.91%,0.0%,0.0%,0.0%,0.36%,0.0%,1.75%,0.0%,0.0%,0.0%,0.0%,2.17,0.0%,5.26%,1.36%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
MC Spain [oGX National Accounts],15.38%,0.0%,0.0%,0.0%,0.0%,11.11%,100.0%,7.69%,0.0%,0.0%,0.0%,0.0%,11.11%,0.0%,7.69%,0.0%,0.0%,0.0%,0.0%,11.11%,0.0%,15.38,0.0%,0.0%,0.0%,0.0%,22.22%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
URL Barcelona,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
Valencia,33.33%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.67,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
Pompeu Fabra Barcelona,12.59%,3.77%,0.0%,0.0%,84.62%,13.33%,0.0%,8.89%,4.72%,0.0%,0.0%,46.15%,6.67%,0.0%,12.59%,15.09%,0.0%,0.0%,0.0%,6.67%,0.0%,14.07,15.09%,0.0%,0.0%,0.0%,20.0%,0.0%,8.89,11.32%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
Sevilla,7.69%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,7.69%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.69,0.0%,0.0%,0.0%,0.0%,9.09%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
SPAIN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Spain
MC Sri Lanka,16.67%,0.0%,0.0%,0.0%,50.0%,16.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sri Lanka
COLOMBO SOUTH,41.35%,50.81%,4.35%,0.0%,72.73%,0.0%,45.45%,18.42%,24.19%,0.0%,0.0%,30.91%,0.0%,18.18%,1.88%,3.23%,0.0%,0.0%,1.82%,0.0%,0.0%,4.89,4.03%,4.35%,0.0%,3.64%,4.0%,27.27%,1.13,0.81%,0.0%,0.0%,1.82%,4.0%,0.0%,Sri Lanka
KANDY,25.06%,43.41%,5.49%,4.88%,59.09%,6.25%,21.43%,12.53%,19.23%,3.3%,1.22%,40.91%,6.25%,21.43%,0.71%,0.55%,2.2%,0.0%,0.0%,0.0%,0.0%,2.6,1.1%,2.2%,3.66%,4.55%,3.12%,14.29%,0.24,0.55%,0.0%,0.0%,0.0%,0.0%,0.0%,Sri Lanka
NSBM,52.63%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,36.84%,0.0%,0.0%,0.0%,70.0%,0.0%,0.0%,5.26%,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,5.26,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,5.26,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,Sri Lanka
COLOMBO NORTH,39.22%,48.3%,8.7%,0.0%,71.88%,0.0%,28.57%,22.75%,25.85%,4.35%,0.0%,50.0%,0.0%,28.57%,6.27%,8.16%,4.35%,0.0%,3.12%,0.0%,14.29%,11.76,13.61%,4.35%,0.0%,12.5%,4.35%,42.86%,3.92,3.4%,0.0%,0.0%,9.38%,0.0%,28.57%,Sri Lanka
RUHUNA,21.75%,45.29%,1.32%,2.04%,92.86%,1.85%,0.0%,11.18%,22.1%,0.66%,2.04%,71.43%,0.62%,0.0%,1.06%,2.17%,0.0%,0.0%,7.14%,0.0%,0.0%,2.72,4.35%,1.97%,2.04%,7.14%,0.62%,0.0%,1.36,2.9%,0.0%,0.0%,0.0%,0.62%,0.0%,Sri Lanka
COLOMBO CENTRAL,22.59%,51.87%,1.85%,3.33%,44.0%,1.33%,8.18%,10.24%,22.82%,1.85%,3.33%,20.0%,0.67%,3.64%,1.51%,2.9%,0.0%,0.0%,0.0%,0.67%,1.82%,2.71,5.39%,0.93%,0.0%,0.0%,0.67%,2.73%,1.2,2.9%,0.93%,0.0%,0.0%,0.0%,0.0%,Sri Lanka
USJ,19.79%,43.94%,1.05%,0.0%,55.56%,4.3%,9.09%,12.96%,29.8%,0.53%,0.0%,37.04%,2.15%,3.64%,1.93%,4.55%,0.0%,0.0%,3.7%,0.0%,1.82%,3.5,8.08%,0.0%,0.0%,3.7%,2.15%,1.82%,0.53,1.01%,0.0%,0.0%,0.0%,1.08%,0.0%,Sri Lanka
SLIIT,27.87%,41.67%,0.0%,0.0%,85.71%,0.0%,0.0%,19.67%,16.67%,0.0%,0.0%,71.43%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.28,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,3.28,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,Sri Lanka
RAJARATA,46.88%,0.0%,0.0%,0.0%,86.67%,6.67%,50.0%,34.38%,0.0%,0.0%,0.0%,66.67%,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sri Lanka
NIBM,64.29%,0.0%,0.0%,0.0%,81.82%,0.0%,0.0%,57.14%,0.0%,0.0%,0.0%,72.73%,0.0%,0.0%,14.29%,0.0%,0.0%,0.0%,18.18%,0.0%,0.0%,21.43,0.0%,0.0%,0.0%,18.18%,0.0%,0.0%,7.14,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sri Lanka
Muscat City,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sultanate of Oman
Universities of Swaziland,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Swaziland
Linköping,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sweden
Gothenburg,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sweden
Lund,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.64,0.0%,3.77%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sweden
STOCKHOLM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sweden
Sweden MC,0.21%,0.0%,0.21%,0.0%,0.0%,0.0%,0.0%,0.21%,0.0%,0.21%,0.0%,0.0%,0.0%,0.0%,0.21%,0.0%,0.21%,0.0%,0.0%,0.0%,0.0%,1.49,0.0%,1.49%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sweden
Uppsala,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Sweden
BASEL - National Office,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
BERN,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
FRIBOURG,100.0%,0.0%,0.0%,0.0%,85.71%,0.0%,200.0%,62.5%,0.0%,0.0%,0.0%,57.14%,0.0%,100.0%,12.5%,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,62.5,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
GENEVA,107.14%,0.0%,0.0%,0.0%,127.27%,0.0%,100.0%,57.14%,0.0%,0.0%,0.0%,72.73%,0.0%,0.0%,14.29%,0.0%,0.0%,0.0%,18.18%,0.0%,0.0%,14.29,0.0%,0.0%,0.0%,18.18%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
LAUSANNE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
LUCERNE - National Office,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
Lugano,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
National Office Switzerland,83.33%,0.0%,100.0%,0.0%,66.67%,0.0%,0.0%,66.67%,0.0%,66.67%,0.0%,66.67%,0.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,133.33,0.0%,266.67%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
ST GALLEN,66.67%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
ZURICH,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Switzerland
Taiwan THU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
Taiwan FCU,22.22%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.22,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.22,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
Taiwan CCU,33.33%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,25.93%,25.93%,0.0%,0.0%,0.0%,0.0%,0.0%,22.22%,22.22%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,22.22%,0.0%,0.0%,0.0%,0.0%,0.0%,3.7,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
Taiwan YZU,150.0%,0.0%,0.0%,0.0%,150.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Taiwan
Taiwan NTU,15.38%,10.0%,0.0%,0.0%,33.33%,0.0%,0.0%,15.38%,10.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,69.23,40.0%,0.0%,0.0%,166.67%,0.0%,0.0%,30.77,20.0%,0.0%,0.0%,66.67%,0.0%,0.0%,Taiwan
Taiwan WZU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
Taiwan NTHU,5.88%,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,5.88%,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,5.88%,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,23.53,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,5.88,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
Taiwan NCHU,50.0%,25.0%,0.0%,0.0%,150.0%,0.0%,0.0%,30.0%,12.5%,0.0%,0.0%,100.0%,0.0%,0.0%,10.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0,25.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
Taiwan NCU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Taiwan
